年月,來源港,來源洲,臺灣港,TEU
"2022/03","SGSIN","亞洲","TWKHH",14184
"2022/03","SGSIN","亞洲","TWTPE",1892
"2022/03","SGSIN","亞洲","TWTXG",2278
"2022/03","THLCH","亞洲","TWKEL",1517
"2022/03","THLCH","亞洲","TWKHH",22444
"2022/03","THLCH","亞洲","TWTPE",6713
"2022/03","THLCH","亞洲","TWTXG",2009
"2022/03","USLAX","北美洲","TWKEL",3134
"2022/03","USLAX","北美洲","TWKHH",22883
"2022/03","USLAX","北美洲","TWTPE",5751
"2022/03","VNHPH","亞洲","TWKEL",186
"2022/03","VNHPH","亞洲","TWKHH",13329
"2022/03","VNHPH","亞洲","TWTXG",922
"2022/04","CNNGB","亞洲","TWHPC",12
"2022/04","CNNGB","亞洲","TWKEL",6434
"2022/04","CNNGB","亞洲","TWKHH",6638
"2022/04","CNNGB","亞洲","TWTPE",2778
"2022/04","CNNGB","亞洲","TWTXG",6963
"2022/04","CNSHA","亞洲","TWKEL",10035
"2022/04","CNSHA","亞洲","TWKHH",7503
"2022/04","CNSHA","亞洲","TWTPE",3769
"2022/04","CNSHA","亞洲","TWTXG",8810
"2022/04","HKHKG","亞洲","TWKEL",24698
"2022/04","HKHKG","亞洲","TWKHH",30010
"2022/04","HKHKG","亞洲","TWTPE",4016
"2022/04","HKHKG","亞洲","TWTXG",10335
"2022/04","JPTYO","亞洲","TWKEL",4230
"2022/04","JPTYO","亞洲","TWKHH",13987
"2022/04","JPTYO","亞洲","TWTPE",3948
"2022/04","JPTYO","亞洲","TWTXG",4824
"2022/04","JPYOK","亞洲","TWKEL",4995
"2022/04","JPYOK","亞洲","TWKHH",14126
"2022/04","JPYOK","亞洲","TWTPE",1342
"2022/04","JPYOK","亞洲","TWTXG",3420
"2022/04","KRPUS","亞洲","TWKEL",3084
"2022/04","KRPUS","亞洲","TWKHH",14219
"2022/04","KRPUS","亞洲","TWTPE",1161
"2022/04","KRPUS","亞洲","TWTXG",2268
"2022/04","SGSIN","亞洲","TWKEL",1380
"2022/04","SGSIN","亞洲","TWKHH",19823
"2022/04","SGSIN","亞洲","TWTPE",1953
"2022/04","SGSIN","亞洲","TWTXG",3065
"2022/04","THLCH","亞洲","TWKEL",1329
"2022/04","THLCH","亞洲","TWKHH",14580
"2022/04","THLCH","亞洲","TWTPE",7647
"2022/04","THLCH","亞洲","TWTXG",1651
"2022/04","USLAX","北美洲","TWKEL",2310
"2022/04","USLAX","北美洲","TWKHH",15204
"2022/04","USLAX","北美洲","TWTPE",4960
"2022/04","VNHPH","亞洲","TWKEL",237
"2022/04","VNHPH","亞洲","TWKHH",11428
"2022/04","VNHPH","亞洲","TWTXG",919
"2022/05","CNNGB","亞洲","TWHPC",73
"2022/05","CNNGB","亞洲","TWKCX",1843
"2022/05","CNNGB","亞洲","TWKEL",7541
"2022/05","CNNGB","亞洲","TWKHH",7793
"2022/05","CNNGB","亞洲","TWTPE",1937
"2022/05","CNNGB","亞洲","TWTXG",8895
"2022/05","CNSHA","亞洲","TWKCX",779
"2022/05","CNSHA","亞洲","TWKEL",16214
"2022/05","CNSHA","亞洲","TWKHH",13915
"2022/05","CNSHA","亞洲","TWTPE",3850
"2022/05","CNSHA","亞洲","TWTXG",10445
"2022/05","HKHKG","亞洲","TWKEL",22070
"2022/05","HKHKG","亞洲","TWKHH",23456
"2022/05","HKHKG","亞洲","TWTPE",3569
"2022/05","HKHKG","亞洲","TWTXG",8523
"2022/05","JPTYO","亞洲","TWKEL",3056
"2022/05","JPTYO","亞洲","TWKHH",10973
"2022/05","JPTYO","亞洲","TWTPE",2776
"2022/05","JPTYO","亞洲","TWTXG",3689
"2022/05","JPYOK","亞洲","TWKEL",2821
"2022/05","JPYOK","亞洲","TWKHH",7831
"2022/05","JPYOK","亞洲","TWTPE",1510
"2022/05","JPYOK","亞洲","TWTXG",2109
"2022/05","KRPUS","亞洲","TWKEL",4029
"2022/05","KRPUS","亞洲","TWKHH",17744
"2022/05","KRPUS","亞洲","TWTPE",2177
"2022/05","KRPUS","亞洲","TWTXG",2325
"2022/05","SGSIN","亞洲","TWKEL",1434
"2022/05","SGSIN","亞洲","TWKHH",15378
"2022/05","SGSIN","亞洲","TWTPE",1506
"2022/05","SGSIN","亞洲","TWTXG",3358
"2022/05","THLCH","亞洲","TWKEL",1221
"2022/05","THLCH","亞洲","TWKHH",20015
"2022/05","THLCH","亞洲","TWTPE",6697
"2022/05","THLCH","亞洲","TWTXG",2017
"2022/05","USLAX","北美洲","TWKEL",2589
"2022/05","USLAX","北美洲","TWKHH",21009
"2022/05","USLAX","北美洲","TWTPE",10496
"2022/05","VNHPH","亞洲","TWKEL",185
"2022/05","VNHPH","亞洲","TWKHH",13495
"2022/05","VNHPH","亞洲","TWTXG",970
"2022/06","CNNGB","亞洲","TWHPC",34
"2022/06","CNNGB","亞洲","TWKEL",6631
"2022/06","CNNGB","亞洲","TWKHH",6419
"2022/06","CNNGB","亞洲","TWTPE",1134
"2022/06","CNNGB","亞洲","TWTXG",6736
"2022/06","CNSHA","亞洲","TWKEL",21996
"2022/06","CNSHA","亞洲","TWKHH",14430
"2022/06","CNSHA","亞洲","TWTPE",3081
"2022/06","CNSHA","亞洲","TWTXG",13931
"2022/06","HKHKG","亞洲","TWKEL",23193
"2022/06","HKHKG","亞洲","TWKHH",23845
"2022/06","HKHKG","亞洲","TWTPE",3435
"2022/06","HKHKG","亞洲","TWTXG",13681
"2022/06","JPTYO","亞洲","TWKEL",5674
"2022/06","JPTYO","亞洲","TWKHH",13636
"2022/06","JPTYO","亞洲","TWTPE",2850
"2022/06","JPTYO","亞洲","TWTXG",5140
"2022/06","JPYOK","亞洲","TWKEL",4296
"2022/06","JPYOK","亞洲","TWKHH",14988
"2022/06","JPYOK","亞洲","TWTPE",1862
"2022/06","JPYOK","亞洲","TWTXG",3008
"2022/06","KRPUS","亞洲","TWKEL",2541
"2022/06","KRPUS","亞洲","TWKHH",14258
"2022/06","KRPUS","亞洲","TWTPE",1436
"2022/06","KRPUS","亞洲","TWTXG",1677
"2022/06","SGSIN","亞洲","TWKEL",1562
"2022/06","SGSIN","亞洲","TWKHH",18736
"2022/06","SGSIN","亞洲","TWTPE",2196
"2022/06","SGSIN","亞洲","TWTXG",3144
"2022/06","THLCH","亞洲","TWKEL",1158
"2022/06","THLCH","亞洲","TWKHH",19543
"2022/06","THLCH","亞洲","TWTPE",4123
"2022/06","THLCH","亞洲","TWTXG",714
"2022/06","USLAX","北美洲","TWKEL",3040
"2022/06","USLAX","北美洲","TWKHH",22558
"2022/06","USLAX","北美洲","TWTPE",4642
"2022/06","VNHPH","亞洲","TWKEL",128
"2022/06","VNHPH","亞洲","TWKHH",15178
"2022/06","VNHPH","亞洲","TWTXG",727
"2022/07","CNNGB","亞洲","TWHPC",429
"2022/07","CNNGB","亞洲","TWKEL",6597
"2022/07","CNNGB","亞洲","TWKHH",8445
"2022/07","CNNGB","亞洲","TWTPE",1960
"2022/07","CNNGB","亞洲","TWTXG",8944
"2022/07","CNSHA","亞洲","TWKEL",18494
"2022/07","CNSHA","亞洲","TWKHH",15988
"2022/07","CNSHA","亞洲","TWTPE",4125
"2022/07","CNSHA","亞洲","TWTXG",12765
"2022/07","HKHKG","亞洲","TWKEL",25074
"2022/07","HKHKG","亞洲","TWKHH",22491
"2022/07","HKHKG","亞洲","TWTPE",3719
"2022/07","HKHKG","亞洲","TWTXG",10538
"2022/07","JPTYO","亞洲","TWKEL",5387
"2022/07","JPTYO","亞洲","TWKHH",13417
"2022/07","JPTYO","亞洲","TWTPE",3060
"2022/07","JPTYO","亞洲","TWTXG",4469
"2022/07","JPYOK","亞洲","TWKEL",3953
"2022/07","JPYOK","亞洲","TWKHH",10480
"2022/07","JPYOK","亞洲","TWTPE",1036
"2022/07","JPYOK","亞洲","TWTXG",2261
"2022/07","KRPUS","亞洲","TWKEL",4104
"2022/07","KRPUS","亞洲","TWKHH",16756
"2022/07","KRPUS","亞洲","TWTPE",2570
"2022/07","KRPUS","亞洲","TWTXG",2734
"2022/07","SGSIN","亞洲","TWKEL",901
"2022/07","SGSIN","亞洲","TWKHH",18335
"2022/07","SGSIN","亞洲","TWTPE",1773
"2022/07","SGSIN","亞洲","TWTXG",1903
"2022/07","THLCH","亞洲","TWKAW",23
"2022/07","THLCH","亞洲","TWKEL",1336
"2022/07","THLCH","亞洲","TWKHD",306
"2022/07","THLCH","亞洲","TWKHH",16638
"2022/07","THLCH","亞洲","TWTPE",5603
"2022/07","THLCH","亞洲","TWTXG",1974
"2022/07","USLAX","北美洲","TWKEL",3116
"2022/07","USLAX","北美洲","TWKHH",23654
"2022/07","USLAX","北美洲","TWTPE",11348
"2022/07","VNHPH","亞洲","TWKEL",405
"2022/07","VNHPH","亞洲","TWKHH",15337
"2022/07","VNHPH","亞洲","TWTXG",556
"2022/08","CNNGB","亞洲","TWHPC",273
"2022/08","CNNGB","亞洲","TWKEL",3973
"2022/08","CNNGB","亞洲","TWKHH",6120
"2022/08","CNNGB","亞洲","TWTPE",1197
"2022/08","CNNGB","亞洲","TWTXG",5297
"2022/08","CNSHA","亞洲","TWKEL",19042
"2022/08","CNSHA","亞洲","TWKHH",15306
"2022/08","CNSHA","亞洲","TWTPE",2157
"2022/08","CNSHA","亞洲","TWTXG",12797
"2022/08","HKHKG","亞洲","TWKEL",21133
"2022/08","HKHKG","亞洲","TWKHH",20746
"2022/08","HKHKG","亞洲","TWTPE",3479
"2022/08","HKHKG","亞洲","TWTXG",9263
"2022/08","JPTYO","亞洲","TWKEL",4950
"2022/08","JPTYO","亞洲","TWKHH",12908
"2022/08","JPTYO","亞洲","TWTPE",2360
"2022/08","JPTYO","亞洲","TWTXG",6421
"2022/08","JPYOK","亞洲","TWKEL",3861
"2022/08","JPYOK","亞洲","TWKHH",8794
"2022/08","JPYOK","亞洲","TWTPE",1453
"2022/08","JPYOK","亞洲","TWTXG",2360
"2022/08","KRPUS","亞洲","TWKEL",3064
"2022/08","KRPUS","亞洲","TWKHH",12010
"2022/08","KRPUS","亞洲","TWTPE",2215
"2022/08","KRPUS","亞洲","TWTXG",2238
"2022/08","SGSIN","亞洲","TWKEL",1155
"2022/08","SGSIN","亞洲","TWKHH",20164
"2022/08","SGSIN","亞洲","TWTPE",3090
"2022/08","SGSIN","亞洲","TWTXG",1313
"2022/08","THLCH","亞洲","TWKEL",1081
"2022/08","THLCH","亞洲","TWKHD",617
"2022/08","THLCH","亞洲","TWKHH",14631
"2022/08","THLCH","亞洲","TWTPE",3517
"2022/08","THLCH","亞洲","TWTXG",1369
"2022/08","USLAX","北美洲","TWKEL",1734
"2022/08","USLAX","北美洲","TWKHH",10035
"2022/08","USLAX","北美洲","TWTPE",6328
"2022/08","VNHPH","亞洲","TWKEL",207
"2022/08","VNHPH","亞洲","TWKHH",15801
"2022/08","VNHPH","亞洲","TWTXG",897
"2022/09","CNNGB","亞洲","TWHPC",150
"2022/09","CNNGB","亞洲","TWKEL",4696
"2022/09","CNNGB","亞洲","TWKHH",4092
"2022/09","CNNGB","亞洲","TWTPE",1856
"2022/09","CNNGB","亞洲","TWTXG",3206
"2022/09","CNSHA","亞洲","TWKEL",17474
"2022/09","CNSHA","亞洲","TWKHH",12955
"2022/09","CNSHA","亞洲","TWTPE",2883
"2022/09","CNSHA","亞洲","TWTXG",9912
"2022/09","HKHKG","亞洲","TWKEL",20258
"2022/09","HKHKG","亞洲","TWKHH",17182
"2022/09","HKHKG","亞洲","TWTPE",3301
"2022/09","HKHKG","亞洲","TWTXG",11273
"2022/09","JPTYO","亞洲","TWKEL",3632
"2022/09","JPTYO","亞洲","TWKHH",14567
"2022/09","JPTYO","亞洲","TWTPE",2684
"2022/09","JPTYO","亞洲","TWTXG",4548
"2022/09","JPYOK","亞洲","TWKEL",3290
"2022/09","JPYOK","亞洲","TWKHH",9657
"2022/09","JPYOK","亞洲","TWTPE",1094
"2022/09","JPYOK","亞洲","TWTXG",1731
"2022/09","KRPUS","亞洲","TWKEL",2800
"2022/09","KRPUS","亞洲","TWKHH",8294
"2022/09","KRPUS","亞洲","TWTPE",1158
"2022/09","KRPUS","亞洲","TWTXG",1582
"2022/09","SGSIN","亞洲","TWKEL",983
"2022/09","SGSIN","亞洲","TWKHH",17436
"2022/09","SGSIN","亞洲","TWTPE",1604
"2022/09","SGSIN","亞洲","TWTXG",1446
"2022/09","THLCH","亞洲","TWKEL",1241
"2022/09","THLCH","亞洲","TWKHD",543
"2022/09","THLCH","亞洲","TWKHH",15626
"2022/09","THLCH","亞洲","TWTPE",4269
"2022/09","THLCH","亞洲","TWTXG",1361
"2022/09","USLAX","北美洲","TWKEL",3203
"2022/09","USLAX","北美洲","TWKHH",13882
